# data for 5_scalability_lomonosov
name GPU HOST
1    17862.511078 34410.740679
2    10337.863888 14848.421983
4    8117.820650 10049.947664
8    4912.054049 5701.944799
16   2313.368635 2415.474675
32   1110.761402 1179.592818
64   550.521988 519.046118
128  288.391598 255.277562
256  164.547740 131.253434
512  0 89.279971
1024 0 50.00000 # host ???
